,Zip Code,2021 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
150,78749,1457,394500,1830,2157,912,15372,9818,5554
151,78750,1412,440800,1739,2523,1061,11634,7262,4372
152,78751,1308,525000,2296,2901,1070,8550,1944,6606
153,78752,1045,275200,1347,1685,578,9755,2020,7735
154,78753,1043,242800,1255,1679,677,22306,7786,14520
155,78754,1235,247000,1778,1949,798,10990,6829,4161
156,78756,1140,599500,2167,3037,1296,4389,1948,2441
157,78757,1216,481100,1886,2639,904,11082,6594,4488
158,78758,1197,295700,1414,1735,673,22641,5939,16702
159,78759,1270,485800,1937,2656,963,21605,10142,11463
160,78942,718,168700,905,1611,481,3245,2366,879
161,78946,838,176100,514,1505,433,381,303,78
162,78947,714,224700,742,1432,541,1683,1482,201
163,78948,-666666666,269800,942,1696,554,262,186,76
164,78953,1247,-666666666,996,1166,742,508,322,186
